,Title,Description,Published_date,views,likes,comments,ids
85,Investing Based On Your Goals #financewithsharan #shorts powered by ET NOW,,2024-01-06,96445,3575,18,sSKwBl0cx04
86,Know Your Finance Pt. 6 #financewithsharan #shorts,"How well do you KNOW YOUR FINANCE?

I was in Carter Road last week - and so much of a blast. Let me know where should I pop next to quiz y’all. 

The questions are always tough okay 😈
.
.
.
.
.
.
[finance with sharan, finance quiz, finance questions, street quiz reels, finance knowledge, RBI, RBI governor, health insurance, SIP]
.
.
.
.
.
#financewithsharan #investingtips #stockmarketindia",2024-01-04,230325,9919,56,9SZbCmwvx3A
87,Car Insurance Is Waste Without This #financewithsharan #shorts,"Did you know that on average a car 🚘 depreciates about 15-18% in the 1st year itself?

So, while you might be thinking that you dont need to worry about your car door getting a dent because you have car insurance, you should be prepared for a big blow to your savings. 🤯

Why? Because once you apply for a claim after a year, the insurance company will not pay for the total original price of that part.

They will pay the depreciated price which will be about 15-20% less. Hence, you might have to shell out from your savings. 💰 

Now, this is unfair, right?

Therefore, you should always get a ⚡️Zero Depreciation Cover ⚡️while getting car insurance.

It’s like a tool that helps you save money while applying for a claim.

If you have a Zero Depreciation Cover, the insurance company will pay for the entire original amount of the part and you won’t lose any money due to depreciation. 

Undoubtedly, it’s a must-have!
.
.
.
.
.
.
.
[finance with sharan, car insurance, vehicle insurance, insurance for vehicles, motor insurance, insurance agent, insurance agency, insurance]
.
.
.
.
.
.
#financewithsharan #insurance #insuranceagent",2024-01-03,221084,7936,24,dtndsdG-BXs
88,Retirement Plan For Millennials & Gen Z #financewithsharan #shorts,"Have you started thinking about your FIRE number? 🔥 

Well, if not then it’s high time you do so!

After all, retirement has been one of the most important goals for every working professional! 💼 

If you are a young individual starting out, then you have a major advantage over others i.e. your risk appetite.

👉🏻 Thus, you can allocate a major portion of your portfolio towards EQUITY.

However, one shouldn’t underestimate the importance of diversification in doing so, because where you invest your money is also important.

🌟 If you want to learn more about investments, check out my recent conversation with Jimeet Modi to understand more about trading markets, how to diversify your portfolio, and how to acquire a winning mindset. 

Full video is on my YouTube channel and the link is in my bio. 

⚠️ Disclaimer: The opinions expressed in the video are not intended to be taken as a piece of financial advice, viewers are advised to do their own research while making their investment decisions.
.
.
.
.
.
.
[finance with sharan, investing for beginners, investing tips, investing in stock market, stock market India, Indian stock market, money management, retire early, early retirement, fire number]
.
.
.
.
.
#financewithsharan #stockmarketindia #investingforbeginners",2023-12-31,416733,17406,70,ogOnUoMlJ-g
89,₹800 Crore In One Investment #financewithsharan #shorts,"How This ₹2000 Crore Net-worth CEO Invests In Stock Market?
 - New video on my channel is live now 🎥🔥

In this exclusive chat with the incredible @jimeetmodi , a true financial maestro and the brains behind SAMCO, we unravel some mind-boggling insights:

📈 How Jimeet made millions in one epic investment!
🤔 Peek into Warren Buffet & Jhunjhunwala’s genius investment strategies.
💰 Smart money moves: Investing at 25 to retire by 40.
📊 Navigating today’s market: What you need to know?
📌 Tips to level up your trading game.
🚀 The winning mindset of a GREAT trader.
📈 Approach to stock market investing for retail investors.
🤖 Will AI shake up the world of wealth management?

🚀 Hit the link in the bio, and share your thoughts in the comments. 
.
.
.
.
.
.
.
[finance with sharan, stock market, stock market in india, stock market for beginners, stock market tips, stock market tips for beginners, easy stock market, investment tips, investment, personal finance]
.
.
.
.
.
.
.
#financewithsharan #stockmarketindia #investingforbeginners",2023-12-29,300037,8671,30,oabw1oEnI58
90,Early Stage Startup Tips #financewithsharan #shorts,"India 🇮🇳 is at the helm of the startup revolution happening around the world.

In such a scenario, when we want to become global leaders, it’s important for startup founders to prioritise ! 🌍 

During my early days as a founder, I learnt that “Growth” shouldn’t be compromised.

That doesn’t mean that a founder should just burn money without thinking about the profitability. 

They need to invest into resources that give them great returns in the long-run ✅ 

Also I feel, if you optimise growth revenue well, profitability will become a by-product of it.

👉🏻 Hence, a responsible founder should take both these things hand in hand and not just focus on a single north-star metric.
.
.
.
.
.
.
.
[finance with sharan, business, startup founder, startup business, profitable business, innovation, startup company, valuation, investors, raising money]
.
.
.
.
.
#financewithsharan #startuplife #businesscoach",2023-12-22,415051,18599,112,_9vVYf5k6go
91,Know Your Finance Pt. 5 #financewithsharan #shorts,"Where do I pop up next with a finance quiz? Tell me in the comments below 🗣️

The questions will be hard - just warning y’all 😂 so be prepared everyday. 
.
.
.
.
.
.
[finance with sharan, streets of Mumbai, quiz, finance quiz, finance minister of India, Nirmala Sitaraman, stock market india, Indian stock market]
.
.
.
.
#financewithsharan #financequiz #stockmarketindia #financetips",2023-12-18,289243,14495,71,TycQMheXoCM
92,How This ₹2000 Crore Net-worth CEO Invests In Stock Market? | The 1% Club Show | Ep 10,"Investing in Stock Market tips, from the millionaire himself.

Join me in deep-diving in a conversation that will change your opinion of money and how you manage it. I got to pick the brain of Jimeet Modi, a multi-millionaire investor and the founder of SAMCO, one of India’s biggest stock and commodity brokerage platforms. 

In this episode, Jimeet reveals his investment philosophy and the common mistakes young investors and traders make. We also discussed how one can develop the right mindset to become an expert investor. 

This is a podcast you should not miss, regardless, especially if you invest directly in stocks. Make sure to watch this knowledge-packed podcast till the end.

Disclaimer: This video is for educational purpose only. Do not consider this as investment advice.


-----------


Time Stamps:

(0:00) : Highlights
(0:37) : How Jimeet made millions in one epic investment?
(4:36) : Warren Buffet & Jhunjhunwala's investment strategies
(5:50) : Why diversification in portfolio is important?
(7:26) : Jimeet's early investment journey as a kid
(9:26) : Smart money moves: Investing at 25 to retire by 40
(10:40) : Navigating today's market: What you need to know?
(15:22) : Biggest money loss for Jimeet
(18:18) : Tips to level up your trading game
(22:15) : The winning mindset of a GREAT trader
(25:01) : Approach to stock market investing for retail investors
(29:55) : Will AI shake up the world of wealth management?


-------------


Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 


----------

➤ Join the 1% Club: https://rebrand.ly/onepercentwebsitefws

➤ Fill in to get featured: https://c8u6kqlr8n6.typeform.com/to/EWK9nQ3t

----------


Links:

Sharan Hegde
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


Jimeet Modi
Instagram: https://www.instagram.com/jimeetmodi/?hl=en
Linkedin: https://www.linkedin.com/in/jimeetmodi/?originalSubdomain=in


The 1% Club
Instagram: https://www.instagram.com/opccommunity/?hl=en
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/
YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR


#financewithsharan #finance #sharan",2023-12-17,495091,10000,344,mAo7dgOF9hw
93,Do This For Early Retirement #financewithsharan #shorts powered by ET Now,,2023-12-16,307961,9681,117,u1c8v8_q1Eg
94,I Dropped Out Of IIM #financewithsharan #shorts,"There’s a fine line between stupidity and genius 🧠 

Needless to say, the courage and determination displayed by @vedang0506 and team during the early days of building @thesouledstore was a clear example of genius.

Ever since its inception, The Souled Store has taken the internet by storm ⚡️

Their super catchy designs, out-of-the-box thinking, and reinventing an extremely saturated market have set them apart from the rest.

➡️ Hop onto my YouTube channel and witness one of the most insightful conversations regarding entrepreneurship, taking difficult professional decisions and various marketing secrets! The link is in my bio. 

Check it out right now and let me know what you love most about The Souled Store in the comment section!
.
.
.
.
.
.
.
[finance with sharan, the souled store, iim, CAT exam, entrepreneurship, entrepreneur, startup, T-shirts]
.
.
.
.
.
#financewithsharan #thesouledstore #iim #startupbusiness",2023-12-15,113287,5508,15,qCxjQElo-W8
95,"IIM Dropout To ₹1,300 Cr T-shirt Business #financewithsharan #shorts",,2023-12-12,232621,8360,49,ZkeiZJfMeCI
96,"How Did This IIM Dropout Build A ₹1,300 Crore Business? | The 1% Club Show | Ep 9","This IIM drop out built a Rs. 1,300 Cr business.


Would you quit your cushy corporate job to follow your passion? That’s exactly what Vedang Patel, the co-founder of the ever-so-popular pop culture apparel brand The Souled Store, had done.


A mechanical engineer with a knack for numbers quickly found himself realizing that the 9-5 job was not for him. So, he quit his job and followed his passion for pop culture. Follow this exclusive interview where Vedang spills all the beans on the souled store’s origin story. 


For any fledging entrepreneurs, this video is a must-watch! So make sure you watch it until the end.


-----------


Time Stamps:
(0:00) : Highlights
(0:40) : Vedang's networth
(1:13) : Vedang's education, first job and salary
(2:30) : The story behind dropping out of IIM
(3:25) : How did Vedang start his t-shirt business & what are the challenges faced?
(6:04) : T-shirts sold & revenue in the first year
(7:15) : Money management during the early days
(8:20) : Securing licenses from Warner Bros & Disney
(11:00) : Marketing secrets revealed !
(13:20) : How much money did TSS raise?
(14:14) : What's the future like for TSS?
(15:08) : Lifestyle changes after hitting it big
(17:18) : How Vedang strategically invests money, and IPO plans
(18:42) : Why is Vedang still hustling?
(19:15) : Advice for budding young entrepreneurs


-------------


Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 


----------
➤ Join the 1% Club: https://rebrand.ly/dvsaupo

➤ Fill in to get featured: https://c8u6kqlr8n6.typeform.com/to/EWK9nQ3t

----------


Links:

Sharan Hegde
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


Vedang Patel
Instagram: https://www.instagram.com/vedang0506/?hl=en
Linkedin: https://in.linkedin.com/in/vedang-patel-40aba34b


The 1% Club
Instagram: https://www.instagram.com/opccommunity/?hl=en
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/
YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR



#financewithsharan #finance #sharan",2023-12-10,657294,10273,339,PEugWmIxBy8
97,Why Term Insurance Is Important #financewithsharan #shorts,"Don’t wait to get a term insurance late into your life. You never know when life will through problems at you. 

Term insurance premiums are cheaper when bought in your 20s than in your 30s & 40s. And there is no better day to get insured than today. 

That said with over 24 companies offering various kinds of life insurance products, it can be difficult to figure out the insurance that is the right fit for you. 

This is why I suggest talking to an expert like Ditto. Ditto offers a free consultation to help you purchase the proper term insurance and help you with the claim settlement for free. 

To secure your dear and loved ones' lives, use Ditto by clicking the link in my bio!



#financewithsharan #healthinsurance #terminsurance",2023-12-09,138506,6237,24,c_OyMD4LYO4
98,Not As Sexy As Stock Market #financewithsharan #shorts,"“Invest in XYZ stock and get rich in 30 Days!” 🤑

Of course, you have come across such reels and videos from various influencers in the past. 

In comparison to these reels, my topics seemed extremely boring and that was probably one of the biggest creative challenges that I faced 🧠 

However, this challenge also gave me one of the best learnings that eventually it’s all about providing the right value to the people 💯

Now, since my topics weren’t that tempting, I had to come up with a different storyline, jokes, characters  and what not to make them interesting. 

💪🏻 By providing the right combination of important executable insights + entertainment, I was able to carve a niche for myself. 

And a big thanks for that goes to all of you who kept on supporting, appreciating and at times helping me improve my content game 🙏🏻
.
.
.
.
.
.
.
[finance with sharan, stock market, stock market india, mutual funds, tax, content creation, personal finance]
.
.
.
.
#financewithsharan #personalfinance #stockmarketindia",2023-12-07,245356,10133,21,ShzYytXyld8
99,Luxury Cars On A Budget #financewithsharan #shorts,"Comment below which car 🚘 you want to buy & who should buy it for you 😬

In frame : @ramesh_somani @topgearmagindia 
.
.
.
.
.
.
[finance with sharan, Ramesh Somani, luxury cars, top gear india, Mercedes, Ferrari, Audi, luxury car in india, fastest car]
.
.
.
.
.
#financewithsharan #luxurycar #topgearindia",2023-12-04,1535513,56474,185,6crHCFPfVAM
100,Problems In Dhoni’s Life #financewithsharan #shorts,"The sting of the World Cup loss resonated deep within us 😞

It’s a reminder that even when equipped with the best, unforeseen challenges may arise. The true measure of our character lies not in avoiding these pitfalls but in our ability to rise from them. 💪🏻

In those moments of adversity, the mindset we nurture becomes the compass guiding our resilience. 🧠 

@mahi7781 shares profound insights about how problems are the very essence of our existence. It’s during these testing times that our courage is truly tested, defining the essence of our bravery 🙌🏻

🚀 Dive deep into Dhoni’s wisdom on my YouTube channel. 
.
.
.
.
.
.
.
[finance with sharan, MS Dhoni, cricket World Cup, india vs Australia, India loss in World Cup, cricking World Cup match, Virat Kohli, Rohit Sharma, motivational]
.
.
.
.
.
#financewithsharan #cricketworldcup #cricketlover",2023-12-01,140414,7078,25,rufqFImETcg
101,Hack To Get Luxury Cars For FREE #financewithsharan #shorts,"Are you a petrolhead? 🚗 

If so, this video is a must-watch for you! Introducing @ramesh_somani , he’s the founder & CEO of the Exhibit group and the chief editor and publisher of @topgearmagindia 🇮🇳 

In this podcast, we discuss everything about :
1) How rich people buy luxury cars
2) Best cars in 40-60L range 
3) Dark secrets of this industry

A big thanks to Ramesh for joining me on the show. And I highly recommend you watch the episode in full. Trust me, this is one ride you do not want to miss.

.
.
.
.
.
.
[finance with sharan, luxury cars, luxury car market, bmw, Ferrari, Mercedes, drifting, cars, car purchase, car loan]
.
.
.
.
.
#financewithsharan #luxurycar #luxurycarlifestyle #carloan",2023-11-28,424275,16051,43,QOGy-npmFE4
102,0 To ₹100 Crores In A Month #financewithsharan #shorts,"We’ve discussed the recent SEBI guidelines for influencers, shedding light on the changing landscape.

I share: 

- his journey to influencer stardom 

- the extraordinary tale of @nikhilkamathcio 10 crore investment in his venture, @getonepercent , which aims to bridge the gap between financial illiteracy and education, empowering people to save and invest wisely.

- encounters with cricket legend @mahi7781 , imparting valuable insights from their recent meetings.

Sharan’s outstanding contributions to the finance industry make this podcast a must-listen. Whether you’re a finance enthusiast or simply curious about the influencer world, this conversation offers a wealth of knowledge and inspiration.

.
.
.
.
.
.
[finance with sharan, Ayush Shukla, sebi, personal finance, fraud, stock market, influencer, Finfluencer]
.
.
.
.
.
.
#financewithsharan #sebi #finfluencer #personalfinance",2023-11-27,2971170,110045,380,6APdv82TvoQ
103,Shocking Reality of Buying Luxury Cars Revealed | The 1% Club Show | Ep 8,"➤ Join the 1% Club: https://bit.ly/3TlStOx 

Subscribe to The 1% Club YouTube channel:
https://www.youtube.com/@getonepercent

The reality of buying luxury cars in India is SHOCKING to say the least.

Are you a petrolhead? If so, this video is a must-watch for you! Introducing Ramesh Somani, he’s the founder & CEO of the Exhibit group and the chief editor and publisher of Top Gear India. 

In this podcast, we discuss everything about cars, from how someone can buy high-end cars to whether luxury and sports cars are investments.

A big thanks to Ramesh for joining me on the show. And I highly recommend you watch the episode in full. Trust me, this is one ride you do not want to miss.

Ramesh Somani : https://www.linkedin.com/in/somaniramesh?originalSubdomain=in

----------


Time Stamps:
(0:00) : Highlights
(0:36) : Ramesh's luxury car collection
(1:08) : How to become a fast drifter?
(1:36) : Drift School in Iceland
(2:25) : Why the rich buy luxury car?
(3:28) : SHOCKING Mercedes sales: India vs China 
(3:59) : Super luxury cars sold in India, cost and add-on charges
(5:15) : Why Bollywood celebs can't buy luxury cars?
(6:17) : How Ferrari invites you to purchase
(7:00) : Luxury cars are appreciating assets?
(8:04) : Hack to get luxury car for FREE
(9:21) : Average networth of a person who buys luxury cars
(10:27) : How often do the owners drive their car?
(11:50) : What is the fastest car in the world?
(12:19) : One car Ramesh would choose for the rest of his life
(13:03) : Dangers of driving too fast
(14:41) : Luxury car in 30 Lakhs to 40 Lakhs range
(15:33) : The 0.001% club of luxury cars
(16:43) : Taboo in India about luxury cars
(18:05) : Top Gear India


-------------

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 


----------
➤ Fill in to get featured: https://c8u6kqlr8n6.typeform.com/to/EWK9nQ3t

➤ Join the 1% Club: https://rebrand.ly/TheOnePercentClub 
----------


Instagram: https://www.instagram.com/financewithsharan
Facebook: https://www.facebook.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan
YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR

#financewithsharan #finance #sharan",2023-11-25,1444244,26682,863,kpOH-8z3aTg
104,Know Your Finance Pt. 4 #financewithsharan #shorts,"I take over the Streets of Mumbai✈️🥳

If your general knowledge is sub par and confidence level is on the rise, come say hi👋 

I (might😜) give you easy questions. Gotta entertain our audience, so I’m counting on some wrong answers 😂
.
.
.
.
.
[finance with sharan, Ambani, inflation, money management, finance knowledge, finance quiz, finance tips]
.
.
.
.
.
#financewithsharan #financetips #moneytalks",2023-11-15,37225374,1875336,2631,FmxJnduHwCQ
105,12k to 4 Cr Salary #financewithsharan #shorts,"From ₹12,000 salary selling computers, to getting a ₹4 Cr package at Axis Bank, and eventually retiring in his 40s - @karandatta.official story is truly inspirational. 

➡️ New YouTube video is out. It’s only 15 mins. Go watch and let me know in the comment section what you think",2023-11-11,348308,11168,52,bL4u5YdWFq8
106,Diwali Shopping Discount For Girlfriend #financewithsharan #shorts,"The  festive season is around the corner! 

But so are expenses!

Unfortunately, all the major Big Diwali Sales are also over which means that you will be splurging a crazy amount of money leading to a giant hole in your savings.

Since I am a huge sucker for discounts, I like to compare prices and even put price alerts across different websites to get the best prices.

The major problem is that when a festival is so close, you do not have a lot of time to become a discount hacker.

That’s why you should use Hubble.

They give up to 10% discounts on brands like Zomato, Swiggy, Nykka, Amazon, Giva, Jimmy Choo and many more throughout the year.

But what’s the catch?

Nothing! Yes, you read that right, absolutely no catch. 

They believe in honest discounting and stay true to it. 

So, what are you waiting for? The link is in my bio!

If you are a 1st time user, use Code- SHARAN to get extra 1% off.

@hubblemoney #partnership 
.
.
.
.
.
.
.
[finance with sharan shopping Diwali discount prices jewellery shopping shocking hacks festival]
.
.
.
.
.
#financewithsharan #diwalishopping #shoppinghacks #discountshopping",2023-11-10,163382,5502,41,nuMYkjMkrRY
107,12K Per Month To 4 Cr Salary Package | The 1% Club Show | Ep 7,"➤ Join the 1% Club: https://bit.ly/46JBWXH
1% Club YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR

From earning 12 / month selling computers to a 4 Cr salary at Axis Bank.

For this episode, I got to talk to Mr. Karan Datta, the Ex-Chief Business Officer of Axis Mutual funds, starting from his journey as a computer salesman to eventually joining Axis Mutual funds.

Karan decided to retire at the peak of his career in his mid-40s, fueled by his passion for sports.  We covered topics such as how he managed to build and maintain his 20Cr portfolio, when and why someone should consider retirement, and much more. 
 
A big thanks to Karan once again for joining me on the show. And I highly recommend you watch the episode in full, trust me, his life is a roller coaster you will want to experience

Karan Datta
Linkedin: https://www.linkedin.com/in/karan-datta/
Youtube: https://youtube.com/@KaranDatta?si=uJcVgOsj4ndM9tff


Karan’s house footage source : Wint Wealth (check out their YouTube channel)


-----------


Time Stamps:
(0:00) : Highlights
(0:33) : Introduction
(0:53) : How much money is enough to retire?
(1:55) : Karan's daily routine
(3:08) : How is 10 Crore invested?
(4:03) : Family, education, first job
(5:33) : Working at Tata Capital and salary
(6:08) : Life at Franklin Templeton and salary
(7:06) : Lifestyle change and expenses, house  & car purchase
(8:58) : Why house purchase is not an investment
(10:20) : Goldman Sachs job and salary
(12:14) : Why he got fired from Goldman Sachs
(13:55) : Axis Bank job, salary and retirement
(16:40) : Advice for youngsters

-------------

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 

----------
➤ Fill in to get featured: https://c8u6kqlr8n6.typeform.com/to/EWK9nQ3t

----------

Instagram: https://www.instagram.com/financewithsharan
Facebook: https://www.facebook.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


#financewithsharan #finance #sharan",2023-11-08,455068,6717,382,N9NjVDBUrwM
108,India’s Favourite Choreographer ft. Terrence Lewis #financewithsharan #shorts,,2023-11-07,215750,5977,22,Uqgjyefkb-g
109,Podcast With MS Dhoni,"1% Club YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR


I met MS Dhoni and filmed a podcast.

The first time I met him in 2022, was to shoot an ad, and I was extremely nervous. I couldn't speak more than 2 sentences.

The universe gave me another chance and this time to have a full blown chat about failure, success, being humble, cricket and much more.

Watch the video and share your thoughts in the comment section below.

---------------------------

Time Stamp:

(0:00) - Introduction
(1:15) - Has life become easier after retirement for Dhoni?
(3:23) - How does Dhoni keep calm & cool in stressful situation?
(5:30) - Is there more success to achieve? What is important for Dhoni in life today?
(7:20) - Is Dhoni's life perfect?


------------------------------


Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 


Instagram: https://www.instagram.com/financewithsharan/
Facebook: https://www.facebook.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde95/ 
Twitter: https://twitter.com/financewsharan

#financewithsharan #finance #sharan",2023-11-03,855706,20863,272,yd5ZwGVmluM
110,Dhoni On What He Wants To Achieve In Life #financewithsharan #shorts,"I asked @mahi7781 some interesting questions, and everyone NEEDS to listen to him 🇮🇳 
.
.
.
.
.
.
[financewithsharan MS Dhoni cricket Indian cricket team World Cup Dhoni] 
.
.
.
.
.
#financewithsharan #dhoni #cricketlovers #cricketworldcup",2023-10-31,1037029,44308,111,6-hH2eIeW4A
111,Diwali Gifts For My Sister #financewithsharan #shorts,"Diwali 🪔 not only brings happiness, gifts and sweets but also the duty of buying gifts for everyone, which means the hassle of entering card details multiple times on online purchases. 🛍️

Entering your card data such as number, expiry date, CVV etc every time you are making an online transaction is extremely annoying. 🥲

Therefore, VISA has introduced CVV-Free Payments.

What’s so special about it❓

When you save your card details on any website, it is encrypted with a unique code, keeping your actual data safe and secure. ✅

So with Visa’s CVV-Free payments, you can just place your order, enter the OTP shared on your mobile 📱 and payment will be completed.

Simple, right?

Unquestionably, this makes all our online purchases safer, more secure and convenient!

👉🏻 If you want to know more about VISA’s CVV-Free Payments, check out the link in my bio!

@visa.ind #partnership 
.
.
.
.
.
.
.
.
.
.
#Visa #CVVfreePayments #Tokenization #financewithsharan",2023-10-30,425050,18560,105,Ru8QkKJuhVM
112,Why all Finfluencers won’t get BANNED | SEBI New Rules,"1% Club YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR 


Has SEBI banned all Finfluencers?

SEBI has presented a Consultation Paper that outlines various limitations on the activities of financial influencers. But does this spell the end of personal finance and wealth management content online? To address this and all other related concerns, I’ve prepared a comprehensive video response. 

Given the prevalent misinformation, I aim to debunk all the myths connected with SEBI’s directive.
I encourage you to watch the entire video and share your thoughts by leaving a comment below.

-------------------


Time Stamps:
(0:00) - Introduction
(0:51) - Why is SEBI after Finfluencers?
(1:21) - Different types of Finfluencers
(1:50) - Where the problem starts?
(2:27) - SEBI consultation paper says..
(3:38) - What I personally think
(4:22) - Will I be able to create content?
(5:30) - Different types of financial advisor
(6:25) - Does getting RIA license solve all problems?
(7:22) - Traditional media houses are reliable?
(7:43) - Conclusion


----------------


Sources Mentioned:

- https://youtu.be/C_PD3YxZOIw?feature=shared 
- https://youtu.be/0Vr1guD9YWw?feature=shared
- https://youtu.be/1MmmicMw6Hs?feature=shared
- https://youtu.be/saYpCW-nPxM?feature=shared
- https://youtu.be/i9Xbi6CctXU?feature=shared


-----------------

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 


Instagram: https://www.instagram.com/financewithsharan
Facebook: https://www.facebook.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


#financewithsharan #sharanhegde #sebi #finfluencer",2023-10-26,254767,7520,545,DcNToAAISc4
113,Know Your Finance Pt. 3,"I take over the Streets of Mumbai✈️🥳

If your general knowledge is sub par and confidence level is on the rise, come say hi👋 

I (might😜) give you easy questions. Gotta entertain our audience, so I’m counting on some wrong answers 😂
.
.
.
.
.
#financewithsharan #financetips #sebi #scam1992 #homeloan",2023-10-25,798813,42679,129,_Tezkc35WoE
114,My Money Will Last Forever #financewithsharan #shorts,"From CA rank holder to retiring at the age of 37. 🎖️

Meet Sandeep Agarwal, who started his earning journey, by joining the treasury sales department of SBI and eventually working his way to the top management of BNP Paribas –Dubai 🇦🇪

When his company asked him to relocate, he decided to retire instead and left his cushy job in Dubai and moved back to India. Currently, he is a derivatives trader and a part-time farmer who enjoys spending time with his family. 

We also spoke about how someone can retire young, the mindset required to retire young and manage their corpus during their retirement.

➡️ The full video is now out on my YouTube channel, the link is in my bio !
.
.
.
.
.
.
.
#financewithsharan #retireearly #retirementplanning #retirement #ca",2023-10-23,2702248,98581,487,J4Cuo-qgVCI
115,How He Retired At 37? | The 1% Club Show | Ep 6,"1% Club YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR


➤ Join the 1% Club: https://bit.ly/487dG2D

From CA rank holder to retiring at the age of 37. Meet Sandeep Agarwal who started his earning journey, by joining the treasury sales department of SBI and eventually working his way to the top management of BNP Paribas –Dubai.  

When his company asked him to relocate, he decided to retire instead and left his cushy job in Dubai and moved back to India. Currently, he is a derivatives trader and a part-time farmer who enjoys spending time with his family. 

We also spoke about how someone can retire young, the mindset required to retire young and manage their corpus during their retirement.


Sandeep Agarwal: https://www.linkedin.com/in/sandeep-agarwal-ab513129/?originalSubdomain=in


------------------


➤ Fill in to get featured: https://c8u6kqlr8n6.typeform.com/to/EWK9nQ3t


-------------------


Time Stamps:
(0:00) : Highlights
(0:30) : Introduction
(1:02) : Sandeep's Networth
(1:56) : Money Allocation
(4:13) : Real Estate in India - Pune vs Mumbai
(5:02) : Why Did He Retire Early?
(6:50) : Career Trajectory
(8:47) : How He Achieved F.I.R.E
(10:09) : Return To India
(11:00) : Surprising Revelation


----------------

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 


Instagram: https://www.instagram.com/financewithsharan
Facebook: https://www.facebook.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan




#financewithsharan #retireearly #retirement #personalfinance",2023-10-20,436936,7744,552,D885QI9wK8Q
116,Don’t Buy A Home At All? 😱 #financewithsharan #shorts,"Should you delay home buying or not buy a home at all ❓

Interviewed by @iankitasaxena 

Thank you @finnetmedia & @bhavika.1207 for this 
.
.
.
.
.
.
.
.
.
#financewithsharan #homebuying #rent #realestateagent #realestateinvesting",2023-10-20,3042766,109811,1541,ykVb2SAsCv0
117,Booking Andaman Cruise Tickets #financewithsharan #shorts,"Concerns like security and privacy while making online card transactions have bothered everyone. Entering your card data such as number, expiry date, CVV etc for every online payment is both cumbersome and worrisome. 

Therefore, VISA has come up with an innovative solution:  CVV-Free Payments.

How does it work?

Well, when you save your card data on any website, it is encrypted with a unique code, keeping your actual data safe and secure.

All you need to do is just enter the OTP shared on your mobile and payment will be completed.

Undoubtedly, this makes transactions a lot safer, more secure and convenient, right?

👉🏻 If you want to know more about VISA’s CVV-Free Payments, check out the link in my bio!
.
.
.
.
.
.
.
.
.
.
.
#financewithsharan #partnership #visa #CVVFreePayments",2023-10-18,490087,27532,93,63mpgmDKmso
118,Left His ₹3 Crore Job #financewithsharan #shorts,,2023-10-12,3206501,69533,262,pHz1YZMQ2t0
